Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
LYON;BAC GENERAL;AIN;BAC SCIENTIFIQUE;414;504;BAC S;2;1997;1;1;X;82,14285714
LYON;BAC GENERAL;AIN;BAC LITTERAIRE;59;69;BAC L;1;1997;1;1;X;85,50724638
NICE;BAC GENERAL;ALPES-MARITIMES;BAC LITTERAIRE;145;192;BAC L;1;1997;1;1;X;75,52083333
AMIENS;BAC GENERAL;AISNE;BAC ECONOMIQUE ET SOCIAL;48;58;BAC ES;1;1997;1;2;2;82,75862069
AMIENS;BAC GENERAL;AISNE;BAC LITTERAIRE;9;10;BAC L;1;1997;1;2;2;90
REIMS;BAC GENERAL;ARDENNES;BAC SCIENTIFIQUE;248;403;BAC S;1;1997;1;1;X;61,53846154
MONTPELLIER;BAC GENERAL;AUDE;BAC SCIENTIFIQUE;215;270;BAC S;2;1997;1;1;X;79,62962963
LYON;BAC GENERAL;AIN;BAC ECONOMIQUE ET SOCIAL;36;45;BAC ES;2;1997;1;2;2;80
LYON;BAC GENERAL;AIN;BAC LITTERAIRE;1;1;BAC L;2;1997;1;2;1;100
AMIENS;BAC GENERAL;AISNE;BAC LITTERAIRE;335;469;BAC L;2;1997;1;1;X;71,42857143
AMIENS;BAC GENERAL;AISNE;BAC LITTERAIRE;57;79;BAC L;1;1997;1;1;X;72,15189873
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC ECONOMIQUE ET SOCIAL;43;62;BAC ES;2;1997;1;2;2;69,35483871
CLERMONT-FERRAND;BAC GENERAL;ALLIER;BAC ECONOMIQUE ET SOCIAL;22;28;BAC ES;1;1997;1;2;2;78,57142857
NICE;BAC GENERAL;ALPES-MARITIMES;BAC LITTERAIRE;10;31;BAC L;2;1997;1;2;0;32,25806452
TOULOUSE;BAC GENERAL;ARIEGE;BAC LITTERAIRE;27;31;BAC L;1;1997;1;1;X;87,09677419
