Académie;Département ;Série ;Sexe;admis;présents;Session;pourcentage d'admis
NANTES;SARTHE;BAC ES;2;460;518;2009;88,8030888
BESANCON;HAUTE-SAONE;BAC ES;2;167;199;2009;83,91959799
DIJON;SAONE-ET-LOIRE;BAC S;1;3;11;2009;27,27272727
DIJON;SAONE-ET-LOIRE;BAC ES;1;3;5;2009;60
NANTES;SARTHE;BAC L;1;10;11;2009;90,90909091
GUADELOUPE;GUADELOUPE;BAC S;1;60;66;2009;90,90909091
DIJON;NIEVRE;BAC S;2;1;4;2009;25
CRETEIL;VAL-DE-MARNE;BAC S;1;430;506;2009;84,98023715
CRETEIL;VAL-DE-MARNE;BAC ES;1;203;231;2009;87,87878788
CRETEIL;VAL-DE-MARNE;BAC L;1;1255;1535;2009;81,75895765
VERSAILLES;VAL-D'OISE;BAC L;2;233;239;2009;97,48953975
VERSAILLES;VAL-D'OISE;BAC ES;1;1;6;2009;16,66666667
VERSAILLES;VAL-D'OISE;BAC S;2;629;735;2009;85,57823129
CORSE;CORSE-DU-SUD;BAC ES;2;1;2;2009;50
CORSE;CORSE-DU-SUD;BAC L;1;153;156;2009;98,07692308
CORSE;CORSE-DU-SUD;BAC S;2;5;13;2009;38,46153846
CORSE;HAUTE-CORSE;BAC L;1;10;32;2009;31,25
CORSE;HAUTE-CORSE;BAC ES;1;78;84;2009;92,85714286
LYON;RHONE;BAC L;2;102;123;2009;82,92682927
LYON;RHONE;BAC ES;2;1;3;2009;33,33333333
CRETEIL;SEINE-SAINT-DENIS;BAC ES;1;26;29;2009;89,65517241
STRASBOURG;HAUT-RHIN;BAC ES;1;15;15;2009;100
STRASBOURG;HAUT-RHIN;BAC S;2;5;6;2009;83,33333333
CRETEIL;SEINE-SAINT-DENIS;BAC S;2;641;746;2009;85,92493298
CRETEIL;SEINE-SAINT-DENIS;BAC L;1;495;523;2009;94,64627151
TOULOUSE;HAUTES-PYRENEES;BAC S;1;71;76;2009;93,42105263
TOULOUSE;HAUTES-PYRENEES;BAC ES;2;20;61;2009;32,78688525
MONTPELLIER;PYRENEES-ORIENTALES;BAC S;1;292;337;2009;86,64688427
MONTPELLIER;PYRENEES-ORIENTALES;BAC L;2;2;7;2009;28,57142857
STRASBOURG;BAS-RHIN;BAC S;1;992;1286;2009;77,13841369
LA REUNION;LA REUNION;BAC ES;2;671;906;2009;74,06181015
STRASBOURG;BAS-RHIN;BAC L;2;20;23;2009;86,95652174
STRASBOURG;BAS-RHIN;BAC ES;1;0;1;2009;0
CLERMONT-FERRAND;PUY-DE-DOME;BAC S;1;332;379;2009;87,59894459
CLERMONT-FERRAND;PUY-DE-DOME;BAC ES;1;1;1;2009;100
MARTINIQUE;MARTINIQUE;BAC L;1;1111;1210;2009;91,81818182
MARTINIQUE;MARTINIQUE;BAC S;2;772;870;2009;88,73563218
GUYANE;GUYANE;BAC ES;1;106;114;2009;92,98245614
BORDEAUX;PYRENEES-ATLANTIQUES;BAC L;2;3;7;2009;42,85714286
DIJON;NIEVRE;BAC ES;1;95;99;2009;95,95959596
DIJON;NIEVRE;BAC L;2;515;551;2009;93,46642468
LILLE;NORD;BAC ES;1;2;4;2009;50
LILLE;NORD;BAC S;1;59;78;2009;75,64102564
PARIS;PARIS;BAC L;2;525;593;2009;88,53288364
PARIS;PARIS;BAC S;2;152;200;2009;76
ROUEN;SEINE MARITIME;BAC S;2;3;11;2009;27,27272727
ROUEN;SEINE MARITIME;BAC ES;1;32;39;2009;82,05128205
VERSAILLES;HAUTS-DE-SEINE;BAC L;2;1;2;2009;50
CAEN;ORNE;BAC S;1;0;1;2009;0
CAEN;ORNE;BAC L;2;934;969;2009;96,3880289
LILLE;PAS-DE-CALAIS;BAC S;2;10;11;2009;90,90909091
LILLE;PAS-DE-CALAIS;BAC ES;1;2;2;2009;100
LILLE;PAS-DE-CALAIS;BAC L;2;4;9;2009;44,44444444
AMIENS;OISE;BAC S;2;652;669;2009;97,45889387
AMIENS;OISE;BAC ES;2;49;77;2009;63,63636364
AMIENS;OISE;BAC L;2;4;17;2009;23,52941176
CAEN;ORNE;BAC ES;2;253;260;2009;97,30769231
VERSAILLES;YVELINES;BAC S;2;7;10;2009;70
VERSAILLES;YVELINES;BAC L;2;12;23;2009;52,17391304
CRETEIL;SEINE-ET-MARNE;BAC S;2;6;12;2009;50
CRETEIL;SEINE-ET-MARNE;BAC L;2;10;27;2009;37,03703704
VERSAILLES;YVELINES;BAC ES;1;0;2;2009;0
NANCY-METZ;VOSGES;BAC L;2;0;3;2009;0
NANCY-METZ;VOSGES;BAC S;2;99;112;2009;88,39285714
DIJON;YONNE;BAC ES;1;0;3;2009;0
NANCY-METZ;VOSGES;BAC ES;1;1;2;2009;50
DIJON;YONNE;BAC S;2;2;4;2009;50
BESANCON;TERRITOIRE DE BELFORT;BAC ES;1;1;3;2009;33,33333333
BESANCON;TERRITOIRE DE BELFORT;BAC L;2;5;6;2009;83,33333333
AIX-MARSEILLE;VAUCLUSE;BAC S;2;2;4;2009;50
AIX-MARSEILLE;VAUCLUSE;BAC ES;2;58;63;2009;92,06349206
AIX-MARSEILLE;VAUCLUSE;BAC L;2;1576;1691;2009;93,19929036
POITIERS;VIENNE;BAC L;1;37;38;2009;97,36842105
